Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","46","Congo","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","58.16","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","46","Congo","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","45.56","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3029","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","82.42","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.7","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","107","Côte d'Ivoire","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2778","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","107","Côte d'Ivoire","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","57.61","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","107","Côte d'Ivoire","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","59.51","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3074","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","90.6","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","116.86","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","49","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3344","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","49","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","84.89","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","49","Cuba","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.78","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3401","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","117.08","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","138.15","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","72","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2694","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","72","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","72","Djibouti","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","61.93","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","55","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2952","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","55","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","79.08","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","55","Dominique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","79.61","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","59","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3292","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","59","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","97.52","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","59","Égypte","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","59.68","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","60","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2696","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","60","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","77.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","60","El Salvador","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","62.39","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","225","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3314","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","225","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","110.26","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","225","Émirats arabes unis","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","88.25","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","58","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2606","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","58","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.96","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","58","Équateur","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","93.31","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3322","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","107.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","152.25","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3247","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","127.39","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","209","Eswatini","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2426","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","209","Eswatini","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","62.07","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","209","Eswatini","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","47.57","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","231","États-Unis d'Amérique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3782","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","231","États-Unis d'Amérique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","113.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","231","États-Unis d'Amérique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","170.49","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","238","Éthiopie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2338","Fc","Donnée calculée"
